code	used	0	1	2
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
1	0	none	desire	anger
2	0	none	anger	desire
3	0	none	relaxation	sadness
4	0	none	sadness	relaxation
